Term	inDocumentsCount	RawFrequency	RelativeFrequency	RelativePeakedness	RelativeSkewness	Distributions
nose	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
nucleus	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
official	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
offspring	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
old	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
open	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
passes	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
petal	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
petals	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
phthisis	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
polished	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
pours	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
pouting	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
powder	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
precisely	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
presence	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
press	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
prolonged	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
puff	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
pulling	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
pure	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
pushing	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
reading	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
red	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
reigns	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
resisting	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
revelation	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
ribbon	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
right	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
rubbed	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
running	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
seeing	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
sensibility	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
shadows	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
shame	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
sharp	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
sheath	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
shop	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
shut	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
signs	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
sings	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
skies	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
small	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
smell	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
smile	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
smiling	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
snout	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
softer	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
souls	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
spring	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
star	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
starry	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
static	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
stir	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
straight	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
strikes	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
subsides	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
tell	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
tepid	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
thighs	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
throat	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
trailing	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
tree	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
trouser	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
turning	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
unaware	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
undulation	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
unnatural	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
upstairs	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
usual	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
virginal	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
virginity	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
voice	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
walk	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
warms	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
waving	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
wind	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
wing	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
wire	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
wise	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
woman's	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
youth	1	2	4.3224552E-4	NaN	NaN	4.3224552E-4
abominable	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
aboriginal	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
abortions	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
absorbed	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
abstracted	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
accepting	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
accoupling	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
accrete	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
acrobat	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
act	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
activities	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
activity	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
actual	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
acutely	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
ada	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
adamsite	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
adjusted	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
adolescence	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
adolescent	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
advertised	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
advertisements	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
advice	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
aerial	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
aesthetic	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
affair	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
age	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
aged	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
agglomeration	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
aggressive	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
aiding	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
aisles	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
