Term	Poem	Part of Speech	Definition	Number of Occurrences	Tags
World	"Magasins du Louvre"	noun	1) The earth and the surrounding heavens; the creation; the system of created things; existent creation; the universe; 2) Any planet or heavenly body, especially when considered as inhabited, and as the scene of interests analogous with human interests; as, a plurality of the worlds; 3) The earth and its inhabitants, with their concerns; the sum of human affairs and interests; 4) In a more restricted sense, that part of the earth and its concerns which is known to any one, or contemplated by any one; a division of the globe, or of its inhabitants; human affairs as seen from a certain position, or from a given point of view; also, state of existence; scene of life and action; as, the Old World; the New World; the religious world; the Catholic world; the upper world; the future world; the heathen world; 5) The customs, practices, and interests of man; general affairs of life; human society; public affairs and occupations; as, a knowledge of the world. (etc.) (MW)		astronomy
Fire	"Joyce's Ulysses"	noun	1) The evolution of light and heat in the combustion of bodies; combustion; state of ignition; 2) Fuel in a state of combustion, as on a hearth, or in a stove or furnace; 3) The burning of a house or town; a conflagration; 4) Anything which destroys or affects like fire; 5) Ardor of passion, whether love or hate; excessive warmth; consuming violence of temper; 6) Liveliness of imagination or fancy; intellectual and moral enthusiasm; capacity for ardor and zeal; 7) Splendor; brilliancy; luster; hence, a star; 8) Torture by burning; severe trial or affliction; 9) The discharge of firearms (MW)		light; heat; life
Heaven	"'The Starry Sky' of Wyndham Lewis"	noun	1) The expanse of space surrounding the earth; esp., that which seems to be over the earth like a great arch or dome; the firmament; the sky; the place where the sun, moon, and stars appear;—often used in the plural in this sense; 2) The dwelling place of the Deity; the abode of bliss; the place or state of the blessed after death; 3) The sovereign of heaven; God; also, the assembly of the blessed, collectively;—used variously in this sense, as in No. 2; 4) Any place of supreme happiness or great comfort; perfect felicity; bliss; a sublime or exalted condition (MW)		spiritual; death
Morning	"Ignoramus"	noun	1) The first or early part of the day, variously understood as the earliest hours of light, the time near sunrise; the time from midnight to noon, from rising to noon, etc. ;2) The first or early part; 3) The goddess Aurora (MW)		light; astronomy
Blossom	"English Rose"	noun	1) The flower of a plant, or the essential organs of reproduction, with their appendages; fluorescence; bloom; the flowers of a plant, collectively; 2) A stage of development; something lovely that gives rich promise; 3) The color of a horse that has white hairs intermixed with sorrel and bay hairs (MW)		botany
Breast	"English Rose"	noun	1) The fore part of the body, between the neck and the belly (MW)		gender
Sun	"English Rose"; "Der Blinde Junge"; "Ignoramus"; "'The Starry Sky' of Wyndham Lewis"; "O Hell"; "Love Songs"; "Parturition"	noun	1) The luminous orb, the light of which constitutes day, and its absence night; the central body round which the earth and planets revolve, by which they are held in their orbits, and from which they receive light and heat.  Its mean distance from the earth is about 92,500,000 miles, and its diameter about 860,000; 2) Any heavenly body which forms the center of a system of orbs; 3) The direct light or warmth from the sun; sunshine; 4) That which resembles the sun, as in splendor or importance; any source of light, warmth, or animation (MW)		light; heat; astronomy
Noon	"Love Songs"	noun	1) the middle of the day; midday the time when the sun is in the meridian; twelve o'clock in the daytime; 2) Hence the highest point; culmination (MW)		light
Virginity	"English Rose"	noun	1) The quality or state of being a virgin; undefiled purity or chastity; maidenhood; 2) The unmarried life; celibacy (MW)		gender
Warmth	"Parturition"	noun	1) The quality or state of being warm; gentle heat; 2) A state of lively and excited interest; zeal; ardor; fervor; passion; enthusiasm; earnestness; 3) (Paint.) The glowing effect which arises from the use of warm colors; hence, any similar appearance or effect in painting, or work of color (MW)		heat
